BCC : 03       A: 80 X: 00 Y: 00 PC: CA0C S: FB 
JMP : 15 CA    A: 80 X: 00 Y: 00 PC: CA0E S: FB 
NOP :          A: 80 X: 00 Y: 00 PC: CA15 S: FB 
CMP : 81       A: 80 X: 00 Y: 00 PC: CA16 S: FB 
BCS : 07       A: 80 X: 00 Y: 00 PC: CA18 S: FB 
BEQ : 05       A: 80 X: 00 Y: 00 PC: CA1A S: FB 
BPL : 03       A: 80 X: 00 Y: 00 PC: CA1C S: FB 
JMP : 25 CA    A: 80 X: 00 Y: 00 PC: CA1E S: FB 
NOP :          A: 80 X: 00 Y: 00 PC: CA25 S: FB 
CMP : 7F       A: 80 X: 00 Y: 00 PC: CA26 S: FB 
BCC : 07       A: 80 X: 00 Y: 00 PC: CA28 S: FB 
BEQ : 05       A: 80 X: 00 Y: 00 PC: CA2A S: FB 
BMI : 03       A: 80 X: 00 Y: 00 PC: CA2C S: FB 
JMP : 35 CA    A: 80 X: 00 Y: 00 PC: CA2E S: FB 
NOP :          A: 80 X: 00 Y: 00 PC: CA35 S: FB 
BIT : 01       A: 80 X: 00 Y: 00 PC: CA36 S: FB 
LDY : 40       A: 80 X: 00 Y: 00 PC: CA38 S: FB 
CPY : 40       A: 80 X: 00 Y: 40 PC: CA3A S: FB 
BNE : 09       A: 80 X: 00 Y: 40 PC: CA3C S: FB 
BMI : 07       A: 80 X: 00 Y: 40 PC: CA3E S: FB 
BCC : 05       A: 80 X: 00 Y: 40 PC: CA40 S: FB 
BVC : 03       A: 80 X: 00 Y: 40 PC: CA42 S: FB 
JMP : 4B CA    A: 80 X: 00 Y: 40 PC: CA44 S: FB 
NOP :          A: 80 X: 00 Y: 40 PC: CA4B S: FB 
CLV :          A: 80 X: 00 Y: 40 PC: CA4C S: FB 
CPY : 3F       A: 80 X: 00 Y: 40 PC: CA4D S: FB 
BEQ : 09       A: 80 X: 00 Y: 40 PC: CA4F S: FB 
BMI : 07       A: 80 X: 00 Y: 40 PC: CA51 S: FB 
BCC : 05       A: 80 X: 00 Y: 40 PC: CA53 S: FB 
BVS : 03       A: 80 X: 00 Y: 40 PC: CA55 S: FB 
JMP : 5E CA    A: 80 X: 00 Y: 40 PC: CA57 S: FB 
NOP :          A: 80 X: 00 Y: 40 PC: CA5E S: FB 
CPY : 41       A: 80 X: 00 Y: 40 PC: CA5F S: FB 
BEQ : 07       A: 80 X: 00 Y: 40 PC: CA61 S: FB 
BPL : 05       A: 80 X: 00 Y: 40 PC: CA63 S: FB 
BPL : 03       A: 80 X: 00 Y: 40 PC: CA65 S: FB 
JMP : 6E CA    A: 80 X: 00 Y: 40 PC: CA67 S: FB 
NOP :          A: 80 X: 00 Y: 40 PC: CA6E S: FB 
LDY : 80       A: 80 X: 00 Y: 40 PC: CA6F S: FB 
CPY : 00       A: 80 X: 00 Y: 80 PC: CA71 S: FB 
BEQ : 07       A: 80 X: 00 Y: 80 PC: CA73 S: FB 
BPL : 05       A: 80 X: 00 Y: 80 PC: CA75 S: FB 
BCC : 03       A: 80 X: 00 Y: 80 PC: CA77 S: FB 
JMP : 80 CA    A: 80 X: 00 Y: 80 PC: CA79 S: FB 
NOP :          A: 80 X: 00 Y: 80 PC: CA80 S: FB 
CPY : 80       A: 80 X: 00 Y: 80 PC: CA81 S: FB 
BNE : 07       A: 80 X: 00 Y: 80 PC: CA83 S: FB 
BMI : 05       A: 80 X: 00 Y: 80 PC: CA85 S: FB 
BCC : 03       A: 80 X: 00 Y: 80 PC: CA87 S: FB 
JMP : 90 CA    A: 80 X: 00 Y: 80 PC: CA89 S: FB 
NOP :          A: 80 X: 00 Y: 80 PC: CA90 S: FB 
CPY : 81       A: 80 X: 00 Y: 80 PC: CA91 S: FB 
BCS : 07       A: 80 X: 00 Y: 80 PC: CA93 S: FB 
BEQ : 05       A: 80 X: 00 Y: 80 PC: CA95 S: FB 
BPL : 03       A: 80 X: 00 Y: 80 PC: CA97 S: FB 
JMP : A0 CA    A: 80 X: 00 Y: 80 PC: CA99 S: FB 
NOP :          A: 80 X: 00 Y: 80 PC: CAA0 S: FB 
CPY : 7F       A: 80 X: 00 Y: 80 PC: CAA1 S: FB 
BCC : 07       A: 80 X: 00 Y: 80 PC: CAA3 S: FB 
BEQ : 05       A: 80 X: 00 Y: 80 PC: CAA5 S: FB 
BMI : 03       A: 80 X: 00 Y: 80 PC: CAA7 S: FB 
JMP : B0 CA    A: 80 X: 00 Y: 80 PC: CAA9 S: FB 
NOP :          A: 80 X: 00 Y: 80 PC: CAB0 S: FB 
BIT : 01       A: 80 X: 00 Y: 80 PC: CAB1 S: FB 
LDX : 40       A: 80 X: 00 Y: 80 PC: CAB3 S: FB 
CPX : 40       A: 80 X: 40 Y: 80 PC: CAB5 S: FB 
BNE : 09       A: 80 X: 40 Y: 80 PC: CAB7 S: FB 
BMI : 07       A: 80 X: 40 Y: 80 PC: CAB9 S: FB 
BCC : 05       A: 80 X: 40 Y: 80 PC: CABB S: FB 
BVC : 03       A: 80 X: 40 Y: 80 PC: CABD S: FB 
JMP : C6 CA    A: 80 X: 40 Y: 80 PC: CABF S: FB 
NOP :          A: 80 X: 40 Y: 80 PC: CAC6 S: FB 
CLV :          A: 80 X: 40 Y: 80 PC: CAC7 S: FB 
CPX : 3F       A: 80 X: 40 Y: 80 PC: CAC8 S: FB 
